,Unnamed: 0,NO_MUNICIPIO_RESIDENCIA,NU_IDADE,TP_SEXO,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,IN_TREINEIRO,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006,Q027,Mean_notes
82419,634398,Itapecerica da Serra,17.0,F,3,2,0,2,0,2.0,444.7,376.8,423.7,418.8,460.0,0,A,424.8
482706,4137798,Arujá,18.0,M,2,2,0,2,0,2.0,441.7,525.3,513.6,593.8,560.0,5622,A,526.8799999999999
254862,2141363,São Paulo,18.0,M,1,2,0,3,0,4.0,493.9,428.7,466.9,559.0,600.0,8433,D,509.7
446073,3789080,Lençóis Paulista,18.0,M,1,2,0,2,0,2.0,565.5,579.0,539.3,375.4,360.0,1874,A,483.84
446278,3790826,São Paulo,33.0,M,0,1,11,1,0,,569.8,706.9,597.2,584.3,620.0,1874,A,615.64
261296,2195453,Mogi das Cruzes,17.0,F,1,2,0,2,0,2.0,457.6,451.1,433.3,489.4,380.0,937,A,442.28000000000003
245342,2054323,São Sebastião,18.0,M,3,2,0,2,0,2.0,397.4,374.0,412.9,513.8,400.0,4685,A,419.62
153154,1249560,Ferraz de Vasconcelos,17.0,F,3,2,0,2,0,2.0,514.6,490.7,492.7,532.1,440.0,2342,A,494.02
565071,5007846,São Carlos,16.0,F,3,3,0,1,1,,491.4,398.3,540.5,378.7,600.0,4685,A,481.78000000000003
261639,2198416,Diadema,17.0,F,3,2,0,2,0,2.0,474.2,472.8,442.7,495.2,440.0,1405,A,464.98
334085,2831084,São Joaquim da Barra,26.0,F,1,1,8,1,0,,482.8,505.6,544.6,551.8,400.0,4685,A,496.96000000000004
125323,1020001,Cubatão,18.0,M,1,1,1,1,0,,501.2,525.8,540.4,689.4,560.0,3748,A,563.36
18960,160282,Panorama,17.0,M,1,2,0,2,0,2.0,555.3,570.1,578.9,467.1,600.0,1874,A,554.28
282193,2368332,Nuporanga,17.0,M,1,2,0,2,0,2.0,540.3,428.3,484.8,412.2,360.0,2811,A,445.12
425288,3583862,São Paulo,19.0,F,1,1,1,1,0,,514.5,464.1,479.8,411.0,460.0,7496,D,465.88
652236,6084824,Osasco,25.0,F,1,3,0,1,0,,619.6,466.4,517.9,532.1,500.0,2342,C,527.2
252484,2119142,Pitangueiras,15.0,F,1,3,0,1,1,,398.8,574.8,591.5,598.6,580.0,4685,A,548.74
450731,3830621,São Paulo,17.0,M,1,2,0,2,0,2.0,443.6,427.0,502.3,528.4,540.0,5622,B,488.26000000000005
538992,4706442,Sorocaba,19.0,F,1,1,2,1,0,,614.6,580.6,572.5,746.2,720.0,7496,D,646.78
202075,1684953,Araçatuba,18.0,F,1,2,0,2,0,2.0,436.3,398.5,502.2,451.2,680.0,3748,A,493.64
531084,4602030,São Paulo,19.0,M,2,1,2,1,0,,430.0,492.0,506.8,432.8,660.0,1405,A,504.32
456354,3880020,Guarulhos,17.0,M,1,2,0,3,0,4.0,499.4,409.9,428.6,534.3,500.0,6599,D,474.43999999999994
340104,2878099,São José dos Campos,17.0,F,1,2,0,2,0,2.0,596.0,579.2,595.9,645.7,780.0,2811,A,639.36
244921,2050850,São Paulo,18.0,F,4,2,0,2,0,2.0,601.9,537.7,512.6,568.6,560.0,1874,A,556.16
101532,785021,São Paulo,32.0,M,3,1,11,1,0,,547.1,582.4,621.0,490.8,500.0,2811,A,548.26
498683,4305337,São Paulo,16.0,F,1,3,0,1,1,,552.3,528.6,581.0,695.5,660.0,9370,D,603.48
